,ID_LK_SK,age_0_34_%,age_35_59_%,age_60+_%,Einw_pro_qm
0,1001,43.106453342867354,31.14162495530926,25.75192170182338,1577.4409587592527
1,1002,43.770501074539084,32.19012070386349,24.039378221597428,2086.3716814159293
2,1003,36.83643495796462,33.824436689103955,29.339128352931425,1013.9489286214462
3,1004,37.30043906550757,33.8709474505265,28.82861348396593,1109.6886779282424
4,1051,33.82478792883417,34.29922678477592,31.875985286389913,93.27516910106851
5,1053,34.521757644577825,36.61286397923595,28.86537837618623,156.18191031162908
6,1054,34.34054148767122,34.56168017062723,31.09777834170156,79.45569152332442
7,1055,29.944511194978585,35.100532951775094,34.95495585324632,144.03449687273354
8,1056,34.95837985184054,36.67821279871244,28.36340734944703,473.3022205494919
9,1057,31.31281724408653,35.58341819086337,33.1037645650501,118.76569423929098
10,1058,33.56355971038402,36.130877096508115,30.305563193107872,124.59746488523467
11,1059,34.216722909636296,35.17110361204849,30.612173478315214,96.57771361527281
12,1060,35.04050255042894,36.87941977741711,28.08007767215395,205.3167908838012
13,1061,34.173601224238084,36.2901322451217,29.536266530640216,124.41461751221915
14,1062,33.40721064491192,37.144525403378346,29.44826395170973,317.3680982395699
15,2000,41.031806250234226,35.560366482563616,23.40782726720216,2438.357017044326
16,3101,39.77453965492243,33.38287178000097,26.842588565076603,1288.4898806434874
17,3102,37.89781606128749,32.80958188817319,29.292602050539312,467.49521136798967
18,3103,37.50916222986525,34.05691456371677,28.433923206417994,606.7689751234054
19,3151,36.36880400181901,36.67291950886767,26.958276489313327,112.22393753428852
20,3152,0.0,0.0,0.0,0.0
21,3153,31.9967302611412,33.48635905819843,34.516910680660374,141.7308010592519
22,3154,33.34465046491506,35.88552903939457,30.769820495690364,135.03956222731642
23,3155,32.2374119685158,34.900011298158404,32.862576733325795,104.64071502321146
24,3156,0.0,0.0,0.0,0.0
25,3157,35.35550330310156,36.541634008882916,28.102862688015527,249.7017707362535
26,3158,33.391963987996,35.92364121373791,30.68439479826609,165.62197984260666
27,3159,37.77958631284405,32.95811310862793,29.262300578528016,186.87818632337445
28,3201,0.0,0.0,0.0,0.0
29,3241,38.0487965004181,34.740036488531686,27.211167011050218,503.94142281271496
30,3251,34.755585883828374,36.07840063443468,29.166013481736954,108.93374652810913
31,3252,33.04141788784254,34.34258442773579,32.61599768442168,186.27153497003286
32,3253,0.0,0.0,0.0,0.0
33,3254,35.25853778462295,34.61101831565399,30.13044389972306,228.90601077520216
34,3255,32.74955970412117,33.64142303628038,33.60901725959845,102.23409771836829
35,3256,35.3080256372234,35.36239764058458,29.329576722192012,86.65476870359795
36,3257,33.15481585235231,35.34075712538265,31.504427022265034,233.51438550793276
37,3351,35.51269727723879,34.258058747261586,30.22924397549962,115.38154008846934
38,3352,32.97513281167229,34.64303552239258,32.38183166593513,96.26803693108691
39,3353,34.216460423457924,37.117447858973954,28.666091717568126,202.45240555195144
40,3354,30.49933917065918,33.869568808855114,35.63109202048571,39.45828783755154
41,3355,37.58698165477827,36.177278973889145,26.23573937133259,138.11564620726534
42,3356,33.090197943920295,36.64296977545213,30.266832280627572,173.92709945301607
43,3357,36.363525129240465,35.75418310850081,27.882291762258728,78.78184675001687
44,3358,35.886372580587455,34.93900039354585,29.174627025866695,74.28205441663432
45,3359,36.78890409744857,35.43391990231509,27.777176000236338,160.25343622275875
46,3360,32.45581817396189,35.000864192196346,32.54331763384177,63.293199050998574
47,3361,35.71846306801567,35.20235101467922,29.079185917305107,173.28823521959995
48,3401,37.92570257837566,33.78045794838094,28.29383947324339,1242.7061649319455
49,3402,39.25689809742006,33.381810937344355,27.36129096523558,446.8132455047178
50,3403,41.71155103739373,33.39753879079721,24.890910171809047,1631.6810553884955
51,3404,43.88763444776264,31.9330128438585,24.179352708378858,1375.1919866444073
52,3405,36.6527701303128,30.87915257348121,32.46807729620598,712.4124404595125
53,3451,34.98641906650224,35.331382837246416,29.682198096251337,169.8276688065483
54,3452,35.186043571699464,34.94374446925962,29.870211959040915,147.47079294059162
55,3453,42.612844556770675,34.92453409547205,22.46262134775728,119.22389152504188
56,3454,39.02081023899379,35.46185096589357,25.51733879511265,112.93143806330127
57,3455,32.72699573430835,34.39569368271379,32.877310582977856,161.53429691729693
58,3456,37.50320486993722,35.41253085831911,27.08426427174367,139.04297252976707
59,3457,36.94209376417033,35.07057929791707,27.98732693791259,156.40220314629923
60,3458,35.06193139906565,36.9575239734448,27.98054462748955,122.21930055219565
61,3459,36.90739709466815,35.63075252628427,27.461850379047583,168.41423124596454
62,3460,42.769671888021016,35.141033065438776,22.089295046540204,173.91058707934167
63,3461,34.27626827947282,35.157519407835345,30.56621231269182,107.4516840854531
64,3462,33.94571217608382,34.29380120248936,31.760486621426814,86.59683950918004
65,4011,39.33682502213042,33.763295816998976,26.899879160870604,1745.5147464590104
66,4012,38.756886143231775,32.816762588661845,28.426351268106377,1213.260730301089
67,5111,39.43006068200241,35.70824196585144,24.86169735214615,2848.507428361161
68,5112,38.93700234661746,34.30915180809884,26.753845845283703,2141.7096219931273
69,5113,38.26300057107676,33.7182242085099,28.018775220413332,2772.2211657316725
70,5114,36.66857545590697,34.76962382168972,28.561800722403312,1647.818828482253
71,5116,37.85598996381773,34.52844477422415,27.615565261958125,1533.7244089869184
72,5117,34.956694756554306,34.43937265917603,30.60393258426966,1872.0420683610866
73,5119,36.051966285473064,34.97289272348681,28.97514099104013,2734.8423920093396
74,5120,35.89112925022974,35.24064363839487,28.86822711137539,1489.4524959742353
