Landkreis,ID_LK_SK,LK_SK,Bundesland,age_covid_0_34_%,age_covid_35_59_%,age_covid_60+_%,age_covid_unknown_%,gender_covid_f_%,gender_covid_m_%,gender_covid_unknown_%,Sterberate_%
LK Märkischer Kreis,5962,LK,Nordrhein-Westfalen,25.757575757575758,46.63299663299663,27.609427609427613,0.0,52.28136882129277,47.71863117870723,0.0,4.545454545454546
LK Mühldorf a.Inn,9183,LK,Bayern,31.451612903225808,34.87903225806452,33.66935483870967,0.0,56.44171779141104,43.558282208588956,0.0,5.443548387096774
LK München,9184,LK,Bayern,28.6770140428677,42.71988174427199,28.529194382852918,0.07390983000739099,49.24114671163575,47.217537942664414,3.541315345699832,4.951958610495196
LK Neckar-Odenwald-Kreis,8225,LK,Baden-Württemberg,24.299065420560748,41.58878504672897,34.112149532710276,0.0,51.59420289855072,48.40579710144928,0.0,5.14018691588785
LK Neu-Ulm,9775,LK,Bayern,25.059101654846334,36.40661938534279,38.297872340425535,0.2364066193853428,50.737463126843664,49.26253687315634,0.0,5.91016548463357
LK Neuburg-Schrobenhausen,9185,LK,Bayern,30.555555555555557,41.04938271604938,28.39506172839506,0.0,53.191489361702125,44.680851063829785,2.127659574468085,4.320987654320987
LK Neumarkt i.d.OPf.,9373,LK,Bayern,32.42506811989101,39.509536784741144,28.065395095367844,0.0,53.02491103202846,46.97508896797153,0.0,4.087193460490464
LK Neunkirchen,10043,LK,Saarland,25.882352941176475,42.35294117647059,31.76470588235294,0.0,52.450980392156865,46.07843137254902,1.4705882352941175,2.7450980392156863
LK Neustadt a.d.Aisch-Bad Windsheim,9575,LK,Bayern,24.896265560165975,48.54771784232365,26.556016597510375,0.0,51.30890052356021,48.69109947643979,0.0,2.4896265560165975
LK Neustadt a.d.Waldnaab,9374,LK,Bayern,22.375,37.875,39.75,0.0,50.437317784256564,49.56268221574344,0.0,8.375
LK Neuwied,7138,LK,Rheinland-Pfalz,26.066350710900476,45.497630331753555,26.540284360189574,1.8957345971563981,43.79562043795621,45.98540145985402,10.218978102189782,1.8957345971563981
LK Nienburg (Weser),3256,LK,Niedersachsen,25.71428571428571,48.57142857142857,25.71428571428571,0.0,49.25373134328358,50.74626865671642,0.0,5.714285714285714
LK Nordfriesland,1054,LK,Schleswig-Holstein,37.64705882352941,36.470588235294116,25.882352941176475,0.0,54.32098765432099,45.67901234567901,0.0,1.1764705882352942
LK Nordhausen,16062,LK,Thüringen,24.59016393442623,55.73770491803278,19.672131147540984,0.0,44.26229508196721,55.73770491803278,0.0,3.278688524590164
LK Nordsachsen,14730,LK,Sachsen,28.87323943661972,50.70422535211267,20.422535211267608,0.0,48.07692307692308,51.92307692307693,0.0,0.0
LK Nordwestmecklenburg,13074,LK,Mecklenburg-Vorpommern,31.70731707317073,45.1219512195122,23.170731707317074,0.0,46.75324675324675,53.246753246753244,0.0,1.2195121951219512
LK Northeim,3155,LK,Niedersachsen,29.508196721311474,39.34426229508197,31.147540983606557,0.0,52.13675213675214,47.008547008547005,0.8547008547008548,2.459016393442623
LK Nürnberger Land,9574,LK,Bayern,22.990353697749196,43.40836012861736,33.60128617363344,0.0,52.71028037383177,47.10280373831775,0.1869158878504673,7.07395498392283
LK Oberallgäu,9780,LK,Bayern,24.85549132947977,49.71098265895954,25.43352601156069,0.0,51.19047619047619,48.80952380952381,0.0,4.046242774566474
LK Oberbergischer Kreis,5374,LK,Nordrhein-Westfalen,26.834381551362686,44.65408805031446,28.511530398322847,0.0,51.9607843137255,48.03921568627451,0.0,3.563941299790356
LK Oberhavel,12065,LK,Brandenburg,40.19292604501607,42.12218649517685,17.363344051446948,0.3215434083601286,45.09803921568628,54.90196078431373,0.0,2.2508038585209005
LK Oberspreewald-Lausitz,12066,LK,Brandenburg,20.408163265306122,42.857142857142854,36.734693877551024,0.0,60.416666666666664,39.58333333333333,0.0,4.081632653061225
LK Odenwaldkreis,6437,LK,Hessen,16.169154228855724,35.32338308457712,48.507462686567166,0.0,55.80736543909348,44.19263456090651,0.0,14.925373134328357
LK Oder-Spree,12067,LK,Brandenburg,23.25581395348837,52.71317829457365,24.031007751937985,0.0,49.6,50.4,0.0,1.550387596899225
LK Offenbach,6438,LK,Hessen,25.79034941763727,42.59567387687188,31.44758735440932,0.16638935108153077,49.35064935064935,50.46382189239333,0.1855287569573284,6.156405990016639
LK Oldenburg,3458,LK,Niedersachsen,25.675675675675674,39.63963963963964,34.68468468468468,0.0,56.111111111111114,43.888888888888886,0.0,5.8558558558558556
LK Olpe,5966,LK,Nordrhein-Westfalen,22.45557350565428,42.48788368336026,35.056542810985455,0.0,57.865168539325836,42.13483146067416,0.0,8.40064620355412
LK Ortenaukreis,8317,LK,Baden-Württemberg,18.675721561969443,41.08658743633276,40.2376910016978,0.0,56.34365634365635,43.65634365634365,0.0,9.252971137521222
LK Osnabrück,3459,LK,Niedersachsen,24.032403240324033,43.114311431143115,32.853285328532856,0.0,53.28874024526199,46.265328874024526,0.4459308807134894,5.3105310531053105
LK Ostalbkreis,8136,LK,Baden-Württemberg,42.23744292237443,36.37747336377473,21.385083713850836,0.0,48.843537414965986,50.204081632653065,0.9523809523809524,2.359208523592085
LK Ostallgäu,9777,LK,Bayern,25.54890219560878,36.52694610778443,37.924151696606785,0.0,50.82742316784869,48.93617021276596,0.2364066193853428,6.786427145708583
LK Osterholz,3356,LK,Niedersachsen,29.411764705882355,42.15686274509804,28.431372549019606,0.0,53.535353535353536,46.464646464646464,0.0,0.0
LK Ostholstein,1055,LK,Schleswig-Holstein,34.32835820895522,37.3134328358209,28.35820895522388,0.0,44.776119402985074,55.223880597014926,0.0,0.0
LK Ostprignitz-Ruppin,12068,LK,Brandenburg,39.02439024390244,45.1219512195122,15.853658536585366,0.0,47.22222222222222,52.77777777777778,0.0,0.0
